"Ingr","Match","Score"
"","lamb chop, ns as to cut, cooked, lean only eaten",0
"collard green leaves","olives, green",0.408248290463863
"whole chile peppers","buttermilk, whole",0.408248290463863
"round rice noodles","rice noodles, cooked",0.666666666666667
"tagliatelle pasta","flavored pasta",0.5
"chipotle chiles","chipotle dip, regular",0.408248290463863
"whole-grain spaghetti","muffin, whole grain",0.666666666666667
"swordfish steaks","swordfish, coated, fried",0.408248290463863
"speck","lamb chop, ns as to cut, cooked, lean only eaten",0
"garlic and herb rub","garlic, cooked",0.353553390593274
"orange segments","orange blossom",0.5
"cinnamon pop-tarts","waffle, cinnamon",0.408248290463863
"apple liqueur","crisp, apple, apple dessert",0.577350269189626
"serrano-mint-cilantro chutney","chutney",0.5
"berry whole-fruit preserves","fruit smoothie, with whole fruit, no dairy",0.5
"turkey gizzard","turkey, nfs",0.5
"from day-old country bread","garlic bread, from frozen",0.447213595499958
"channa dal","channa saag",0.5
"outside green celery stalks","celery, raw",0.353553390593274
"plain breadcrumbs","dumpling, plain",0.5
"marzipan","lamb chop, ns as to cut, cooked, lean only eaten",0
"achiote (annatto) seeds","mixed seeds",0.408248290463863
"coarse sugar crystals","sugar substitute and sugar blend",0.436435780471985
"whole wheat lavash breads","muffin, whole wheat",0.577350269189626
"salami","salami, nfs",0.707106781186547
"licorice whips","licorice",0.707106781186547
"fruitcake","lamb chop, ns as to cut, cooked, lean only eaten",0
"sultanas","lamb chop, ns as to cut, cooked, lean only eaten",0
"lime peel","lime, raw",0.5
"decadent brownie","cookie, butterscotch, brownie",0.408248290463863
"smoked russian dressing","russian dressing",0.816496580927726
"""smuckers® sweet orange low sugar marmalade""","sugar substitute and sugar blend",0.308606699924184
"creamy mexican dip","eggplant dip",0.408248290463863
"from 1 sprig","cheeseburger, from fast food, 1 small patty",0.436435780471985
"long grain rice","rice croquette",0.408248290463863
"cherry eau die vie","crisp, cherry",0.353553390593274
"button or wild mushrooms","mushrooms, fresh, cooked with butter or margarine",0.377964473009227
"sultana raisins","raisins",0.707106781186547
"hazelnut milk","milk, human",0.5
"iceberg lettuce","lettuce, cooked",0.5
"arbol chiles","chiles rellenos, cheese-filled",0.353553390593274
"ginger sesame vinaigrette","sesame dressing",0.408248290463863
"lemon jelly beans","jelly sandwich, regular jelly, nfs",0.436435780471985
"teriyaki marinade","shrimp teriyaki",0.5
"reposado tequila","tequila",0.707106781186547
"quartered","lamb chop, ns as to cut, cooked, lean only eaten",0
"""hunts® tomato sauce""","tomato chili sauce",0.666666666666667
"spicy tomato broth","beef broth, without tomato, home recipe",0.471404520791032
"cereal rings","cereal, fruit rings",0.816496580927726
"ginger/garlic paste","garlic, cooked",0.408248290463863
"tequilla","lamb chop, ns as to cut, cooked, lean only eaten",0
"champagne flutes","champagne punch",0.5
"montreal seasoning","puerto rican seasoning with ham",0.316227766016838
"whole grain","muffin, whole grain",0.816496580927726
"noodle substitute","noodle pudding",0.5
"danish cherry liqueur","crisp, cherry",0.408248290463863
"monkfish","lamb chop, ns as to cut, cooked, lean only eaten",0
"none","lamb chop, ns as to cut, cooked, lean only eaten",0
"sour apple hard candy","hard candy",0.707106781186547
"mini filo shells","stuffed shells, cheese-filled, no sauce",0.235702260395516
"pomegranate marinade","pomegranate, raw",0.5
"campari tomatoes","tomatoes, scalloped",0.5
"cheese ravioli","ravioli, cheese-filled, no sauce",0.632455532033676
"italian bulk sausage","italian sausage",0.816496580927726
"top round beef","beef goulash",0.408248290463863
"sweet potato baby food","apple-sweet potato juice, baby food",0.816496580927726
