"Food_Code","Main_Food_Description","Subcode_Description","WWEIA_Category_Description","Portion_Description","Portion_Weight_(g)"
"11000000","milk, human",NA,"human milk","cup","246"
"11000000","milk, human",NA,"human milk","quantity not specified","0"
"11000000","milk, human",NA,"human milk","fl oz","30.8"
"11100000","milk, nfs",NA,"milk, reduced fat","cup","244"
"11100000","milk, nfs",NA,"milk, reduced fat","fl oz","30.5"
"11100000","milk, nfs",NA,"milk, reduced fat","individual school container","244"
"11100000","milk, nfs",NA,"milk, reduced fat","guideline amount per fl oz of beverage","2.5"
"11100000","milk, nfs",NA,"milk, reduced fat","guideline amount per cup of hot cereal","61"
"11100000","milk, nfs",NA,"milk, reduced fat","quantity not specified","244"
"11111000","milk, whole",NA,"milk, whole","cup","244"
"11111000","milk, whole",NA,"milk, whole","fl oz","30.5"
"11111000","milk, whole",NA,"milk, whole","individual school container","244"
"11111000","milk, whole",NA,"milk, whole","guideline amount per fl oz of beverage","2.5"
"11111000","milk, whole",NA,"milk, whole","guideline amount per cup of hot cereal","61"
"11111000","milk, whole",NA,"milk, whole","quantity not specified","244"
"11111100","milk, low sodium, whole",NA,"milk, whole","cup","244"
"11111100","milk, low sodium, whole",NA,"milk, whole","fl oz","30.5"
"11111100","milk, low sodium, whole",NA,"milk, whole","guideline amount per fl oz of beverage","2.5"
"11111100","milk, low sodium, whole",NA,"milk, whole","guideline amount per cup of hot cereal","61"
"11111100","milk, low sodium, whole",NA,"milk, whole","quantity not specified","244"
"11111150","milk, calcium fortified, whole",NA,"milk, whole","cup","244"
"11111150","milk, calcium fortified, whole",NA,"milk, whole","fl oz","30.5"
"11111150","milk, calcium fortified, whole",NA,"milk, whole","guideline amount per fl oz of beverage","2.5"
"11111150","milk, calcium fortified, whole",NA,"milk, whole","guideline amount per cup of hot cereal","61"
"11111150","milk, calcium fortified, whole",NA,"milk, whole","quantity not specified","244"
"11111160","milk, calcium fortified, low fat (1%)",NA,"milk, lowfat","cup","244"
"11111160","milk, calcium fortified, low fat (1%)",NA,"milk, lowfat","fl oz","30.5"
"11111160","milk, calcium fortified, low fat (1%)",NA,"milk, lowfat","guideline amount per fl oz of beverage","2.5"
"11111160","milk, calcium fortified, low fat (1%)",NA,"milk, lowfat","guideline amount per cup of hot cereal","61"
"11111160","milk, calcium fortified, low fat (1%)",NA,"milk, lowfat","quantity not specified","244"
